Destination,Hop,Delay (ms),Group
itu.edu.tr,161.9.79.253 (161.9.79.253),10.858,0
itu.edu.tr,161.9.79.253 (161.9.79.253),18.62,1
itu.edu.tr,161.9.79.253 (161.9.79.253),19.082,2
itu.edu.tr,161.9.79.253 (161.9.79.253),29.219,3
itu.edu.tr,161.9.79.253 (161.9.79.253),244.955,4
itu.edu.tr,161.9.79.253 (161.9.79.253),84.318,5
itu.edu.tr,161.9.79.253 (161.9.79.253),25.397,6
itu.edu.tr,161.9.79.253 (161.9.79.253),28.416,7
itu.edu.tr,161.9.79.253 (161.9.79.253),4.076,8
itu.edu.tr,161.9.79.253 (161.9.79.253),92.389,9
metu.edu.tr,144.122.1.18 (144.122.1.18),130.489,10
metu.edu.tr,144.122.1.18 (144.122.1.18),102.966,11
metu.edu.tr,144.122.1.18 (144.122.1.18),119.603,12
metu.edu.tr,144.122.1.18 (144.122.1.18),183.668,13
metu.edu.tr,144.122.1.18 (144.122.1.18),147.24,14
metu.edu.tr,144.122.1.18 (144.122.1.18),144.585,15
metu.edu.tr,144.122.1.18 (144.122.1.18),85.413,16
metu.edu.tr,144.122.1.18 (144.122.1.18),38.522,17
metu.edu.tr,144.122.1.18 (144.122.1.18),180.179,18
metu.edu.tr,144.122.1.18 (144.122.1.18),185.389,19
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),32.051,20
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),40.944,21
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),290.909,22
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),29.968,23
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),99.28,24
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),151.506,25
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),403.764,26
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),440.668,27
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),525.177,28
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),661.871,29
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),481.975,30
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),561.893,31
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),757.563,32
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),228.914,33
erbakan.edu.tr,istn-gyrt-tnp-Gi0-3-280.turk.net (212.154.122.41),566.058,34
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),1226.558,35
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),317.158,36
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),682.098,37
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),554.223,38
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),800.187,39
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),774.967,40
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),411.956,41
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1023.359,42
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1107.447,43
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),970.06,44
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),860.77,45
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),834.557,46
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),620.244,47
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1156.507,48
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),773.651,49
google.com,142.251.227.251 (142.251.227.251),792.88,50
google.com,142.251.227.251 (142.251.227.251),1175.658,51
google.com,* * 142.251.227.253 (142.251.227.253),439.355,52
google.com,* * 142.251.227.251 (142.251.227.251),297.405,53
google.com,* * 108.170.250.161 (108.170.250.161),207.99,54
google.com,* 142.251.227.251 (142.251.227.251),422.485,55
google.com,142.251.227.251 (142.251.227.251),432.309,56
google.com,142.251.227.251 (142.251.227.251),672.882,57
google.com,142.251.227.251 (142.251.227.251),623.908,58
google.com,* * 142.251.227.253 (142.251.227.253),552.641,59
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1070.584,60
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1604.492,61
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1299.59,62
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1060.939,63
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1279.212,64
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1130.469,65
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),782.437,66
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1028.817,67
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),514.249,68
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),785.624,69
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),837.572,70
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),638.019,71
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),805.563,72
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),715.206,73
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),676.266,74
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),899.57,75
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),840.773,76
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),1130.401,77
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),360.468,78
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),496.661,79
kyoto-u.ac.jp,ae-0.a02.frnkge13.de.bb.gin.ntt.net (129.250.3.23),776.24,80
kyoto-u.ac.jp,ae-0.a02.frnkge13.de.bb.gin.ntt.net (129.250.3.23),495.226,81
kyoto-u.ac.jp,ae-0.a03.frnkge13.de.bb.gin.ntt.net (129.250.3.30),831.382,82
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.115),762.411,83
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.113),922.882,84
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.115),937.619,85
kyoto-u.ac.jp,ae-1.a03.frnkge13.de.bb.gin.ntt.net (129.250.3.152),703.189,86
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.113),474.115,87
kyoto-u.ac.jp,06-ulus-sr14s-t2-2---06-ulus-sr12e-t3-1.statik.turktelekom.com.tr (81.212.222.209),1279.033,88
kyoto-u.ac.jp,ae-7.r21.frnkge13.de.bb.gin.ntt.net (129.250.7.43),1401.719,89
mit.edu,ae5.r02.border.mrs01.sdn.netarch.akamai.com (23.223.62.19),958.82,90
mit.edu,akamai-ic-350392.ip.twelve99-cust.net (62.115.181.75),1083.948,91
mit.edu,ae38.r01.border101.iad03.fab.netarch.akamai.com (23.203.152.143),1226.714,92
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),831.22,93
mit.edu,ae34.r03.border101.par02.fab.netarch.akamai.com (23.210.53.25),949.224,94
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),758.373,95
mit.edu,ae34.r03.border101.par02.fab.netarch.akamai.com (23.210.53.25),912.857,96
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),326.53,97
mit.edu,208.185.22.10.IPYX-074089-910-ZYO.zip.zayo.com (208.185.22.10),895.753,98
mit.edu,ae36.r03.border101.mia02.fab.netarch.akamai.com (23.203.157.23),680.622,99
itu.edu.tr,161.9.79.253 (161.9.79.253),8.259,100
itu.edu.tr,161.9.79.253 (161.9.79.253),18.907,101
itu.edu.tr,161.9.79.253 (161.9.79.253),16.807,102
itu.edu.tr,161.9.79.253 (161.9.79.253),30.05,103
itu.edu.tr,161.9.79.253 (161.9.79.253),242.993,104
itu.edu.tr,161.9.79.253 (161.9.79.253),84.252,105
itu.edu.tr,161.9.79.253 (161.9.79.253),24.162,106
itu.edu.tr,161.9.79.253 (161.9.79.253),25.6,107
itu.edu.tr,161.9.79.253 (161.9.79.253),5.22,108
itu.edu.tr,161.9.79.253 (161.9.79.253),95.791,109
metu.edu.tr,144.122.1.18 (144.122.1.18),129.959,110
metu.edu.tr,144.122.1.18 (144.122.1.18),106.473,111
metu.edu.tr,144.122.1.18 (144.122.1.18),116.551,112
metu.edu.tr,144.122.1.18 (144.122.1.18),180.329,113
metu.edu.tr,144.122.1.18 (144.122.1.18),150.718,114
metu.edu.tr,144.122.1.18 (144.122.1.18),140.706,115
metu.edu.tr,144.122.1.18 (144.122.1.18),83.805,116
metu.edu.tr,144.122.1.18 (144.122.1.18),39.01,117
metu.edu.tr,144.122.1.18 (144.122.1.18),179.219,118
metu.edu.tr,144.122.1.18 (144.122.1.18),183.808,119
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),28.813,120
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),37.222,121
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),291.599,122
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),32.244,123
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),101.852,124
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),151.422,125
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),403.378,126
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),435.862,127
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),524.054,128
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),659.92,129
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),479.491,130
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),565.107,131
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),757.399,132
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),228.241,133
erbakan.edu.tr,istn-gyrt-tnp-Gi0-3-280.turk.net (212.154.122.41),564.742,134
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),1226.509,135
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),316.771,136
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),683.16,137
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),556.214,138
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),802.335,139
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),774.745,140
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),407.286,141
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1022.514,142
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1110.524,143
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),969.256,144
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),858.038,145
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),837.481,146
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),618.814,147
