Destination,Hop,Delay (ms)
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.433
itu.edu.tr,161.9.63.253 (161.9.63.253),30.644
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),8.532
itu.edu.tr,161.9.63.253 (161.9.63.253),39.532
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.182
itu.edu.tr,161.9.63.253 (161.9.63.253),39.927
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),6.69
itu.edu.tr,161.9.63.253 (161.9.63.253),95.954
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.348
itu.edu.tr,161.9.63.253 (161.9.63.253),40.336
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.013
itu.edu.tr,161.9.63.253 (161.9.63.253),49.011
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),2.969
itu.edu.tr,161.9.63.253 (161.9.63.253),37.058
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),6.172
itu.edu.tr,161.9.63.253 (161.9.63.253),75.863
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.953
itu.edu.tr,161.9.63.253 (161.9.63.253),37.665
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),4.513
itu.edu.tr,161.9.63.253 (161.9.63.253),76.118
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.44
metu.edu.tr,161.9.63.253 (161.9.63.253),27.975
metu.edu.tr,160.75.126.25 (160.75.126.25),32.983
metu.edu.tr,193.255.0.141 (193.255.0.141),30.701
metu.edu.tr,193.140.0.149 (193.140.0.149),45.086
metu.edu.tr,144.122.1.18 (144.122.1.18),52.202
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),1.952
metu.edu.tr,161.9.63.253 (161.9.63.253),72.569
metu.edu.tr,160.75.126.25 (160.75.126.25),72.129
metu.edu.tr,193.255.0.141 (193.255.0.141),65.816
metu.edu.tr,193.140.0.149 (193.140.0.149),63.01
metu.edu.tr,144.122.1.18 (144.122.1.18),57.885
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.881
metu.edu.tr,161.9.63.253 (161.9.63.253),41.607
metu.edu.tr,160.75.126.25 (160.75.126.25),40.878
metu.edu.tr,193.255.0.141 (193.255.0.141),38.922
metu.edu.tr,144.122.1.18 (144.122.1.18),50.608
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.921
metu.edu.tr,161.9.63.253 (161.9.63.253),37.843
metu.edu.tr,160.75.126.25 (160.75.126.25),42.784
metu.edu.tr,193.255.0.141 (193.255.0.141),37.744
metu.edu.tr,193.140.0.149 (193.140.0.149),32.933
metu.edu.tr,144.122.1.18 (144.122.1.18),50.572
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),3.642
metu.edu.tr,161.9.63.253 (161.9.63.253),35.314
metu.edu.tr,160.75.126.25 (160.75.126.25),36.548
metu.edu.tr,193.255.0.141 (193.255.0.141),43.523
metu.edu.tr,193.140.0.149 (193.140.0.149),40.395
metu.edu.tr,144.122.1.18 (144.122.1.18),49.065
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.204
metu.edu.tr,161.9.63.253 (161.9.63.253),40.158
metu.edu.tr,160.75.126.25 (160.75.126.25),38.035
metu.edu.tr,193.255.0.141 (193.255.0.141),34.225
metu.edu.tr,193.140.0.149 (193.140.0.149),40.296
metu.edu.tr,144.122.1.18 (144.122.1.18),47.393
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.839
metu.edu.tr,161.9.63.253 (161.9.63.253),39.092
metu.edu.tr,160.75.126.25 (160.75.126.25),45.431
metu.edu.tr,193.255.0.141 (193.255.0.141),38.678
metu.edu.tr,* * 193.140.0.149 (193.140.0.149),54.75
metu.edu.tr,144.122.1.18 (144.122.1.18),40.966
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),5.109
metu.edu.tr,161.9.63.253 (161.9.63.253),82.924
metu.edu.tr,160.75.126.25 (160.75.126.25),38.52
metu.edu.tr,193.255.0.141 (193.255.0.141),35.625
metu.edu.tr,193.140.0.149 (193.140.0.149),49.921
metu.edu.tr,144.122.1.18 (144.122.1.18),46.151
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),3.854
metu.edu.tr,161.9.63.253 (161.9.63.253),38.225
metu.edu.tr,160.75.126.25 (160.75.126.25),43.335
metu.edu.tr,193.255.0.141 (193.255.0.141),39.543
metu.edu.tr,144.122.1.18 (144.122.1.18),39.228
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),1.274
metu.edu.tr,161.9.63.253 (161.9.63.253),35.389
metu.edu.tr,160.75.126.25 (160.75.126.25),30.826
metu.edu.tr,193.255.0.141 (193.255.0.141),34.502
metu.edu.tr,193.140.0.149 (193.140.0.149),38.537
metu.edu.tr,144.122.1.18 (144.122.1.18),51.034
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),2.459
en.iyte.edu.tr,161.9.63.253 (161.9.63.253),41.023
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),46.356
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),41.326
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),42.576
,,
