Destination,Hop,Delay (ms)
itu.edu.tr,Abdullah-Laptop (172.30.144.1),6.353
itu.edu.tr,V12.bbrouter (192.168.1.1),7.3
itu.edu.tr,172.17.1.250 (172.17.1.250),13.971
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),11.131
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),7.743
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),18.598
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),9.417
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),19.341
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.55
itu.edu.tr,V12.bbrouter (192.168.1.1),0.916
itu.edu.tr,172.17.1.250 (172.17.1.250),13.067
itu.edu.tr,* 225.100.146.159.srv.turk.net (159.146.100.225),18.435
itu.edu.tr,* 229.100.146.159.srv.turk.net (159.146.100.229),10.111
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),15.847
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),13.476
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.726
itu.edu.tr,V12.bbrouter (192.168.1.1),9.769
itu.edu.tr,172.17.1.250 (172.17.1.250),14.221
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),15.743
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),9.505
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),22.701
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),20.206
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),21.702
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.29
itu.edu.tr,V12.bbrouter (192.168.1.1),7.466
itu.edu.tr,172.17.1.250 (172.17.1.250),11.151
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),10.045
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),9.808
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),14.059
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),36.094
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),24.126
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),6.074
itu.edu.tr,V12.bbrouter (192.168.1.1),0.491
itu.edu.tr,172.17.1.250 (172.17.1.250),39.031
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),35.243
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),29.159
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),38.739
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),18.952
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),26.567
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.789
itu.edu.tr,V12.bbrouter (192.168.1.1),1.892
itu.edu.tr,172.17.1.250 (172.17.1.250),14.79
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),14.36
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),9.247
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),19.739
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),18.628
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),22.829
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.304
itu.edu.tr,V12.bbrouter (192.168.1.1),17.839
itu.edu.tr,172.17.1.250 (172.17.1.250),6.116
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),24.517
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),14.702
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),20.709
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),27.329
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),19.531
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),5.3
itu.edu.tr,V12.bbrouter (192.168.1.1),3.914
itu.edu.tr,172.17.1.250 (172.17.1.250),8.162
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),19.714
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),7.03
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),29.458
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),18.439
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),21.644
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.615
itu.edu.tr,V12.bbrouter (192.168.1.1),5.039
itu.edu.tr,172.17.1.250 (172.17.1.250),16.316
itu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),19.368
itu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),17.268
itu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),19.01
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),14.059
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),23.5
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),4.474
itu.edu.tr,192.168.1.1 (192.168.1.1),7.373
itu.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),4.398
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),25.5
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),3.345
metu.edu.tr,V12.bbrouter (192.168.1.1),13.639
metu.edu.tr,172.17.1.250 (172.17.1.250),10.703
metu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),27.797
metu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),17.453
metu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),22.884
metu.edu.tr,26.77.146.159.srv.turk.net (159.146.77.26),25.438
metu.edu.tr,193.192.103.43 (193.192.103.43),15.599
metu.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),12.779
metu.edu.tr,144.122.1.18 (144.122.1.18),21.188
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),1.341
metu.edu.tr,V12.bbrouter (192.168.1.1),1.984
metu.edu.tr,172.17.1.250 (172.17.1.250),7.148
metu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),17.849
metu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),8.647
metu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),11.06
metu.edu.tr,101.100.146.159.srv.turk.net (159.146.100.101),16.772
metu.edu.tr,193.192.103.43 (193.192.103.43),18.656
metu.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),23.945
metu.edu.tr,144.122.1.18 (144.122.1.18),13.896
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.322
metu.edu.tr,V12.bbrouter (192.168.1.1),8.677
metu.edu.tr,172.17.1.250 (172.17.1.250),13.223
metu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),23.157
metu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),14.212
metu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),19.449
metu.edu.tr,26.77.146.159.srv.turk.net (159.146.77.26),25.184
metu.edu.tr,193.192.103.43 (193.192.103.43),19.483
metu.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),16.2
metu.edu.tr,144.122.1.18 (144.122.1.18),12.209
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),0.489
metu.edu.tr,V12.bbrouter (192.168.1.1),15.676
metu.edu.tr,172.17.1.250 (172.17.1.250),8.416
metu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),18.941
metu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),13.308
metu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),19.711
metu.edu.tr,26.77.146.159.srv.turk.net (159.146.77.26),24.017
metu.edu.tr,193.192.103.43 (193.192.103.43),15.964
metu.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),21.629
metu.edu.tr,144.122.1.18 (144.122.1.18),20.39
,,
