Destination,Hop,Delay (ms),Group
itu.edu.tr,161.9.63.253 (161.9.63.253),34.603,0
itu.edu.tr,161.9.63.253 (161.9.63.253),40.557,1
itu.edu.tr,161.9.63.253 (161.9.63.253),37.682,2
itu.edu.tr,161.9.63.253 (161.9.63.253),94.927,3
itu.edu.tr,161.9.63.253 (161.9.63.253),49.321,4
itu.edu.tr,161.9.63.253 (161.9.63.253),57.859,5
itu.edu.tr,161.9.63.253 (161.9.63.253),37.274,6
itu.edu.tr,161.9.63.253 (161.9.63.253),82.189,7
itu.edu.tr,161.9.63.253 (161.9.63.253),38.13,8
itu.edu.tr,161.9.63.253 (161.9.63.253),74.405,9
metu.edu.tr,144.122.1.18 (144.122.1.18),51.805,10
metu.edu.tr,144.122.1.18 (144.122.1.18),52.984,11
metu.edu.tr,144.122.1.18 (144.122.1.18),52.782,12
metu.edu.tr,144.122.1.18 (144.122.1.18),51.245,13
metu.edu.tr,144.122.1.18 (144.122.1.18),47.912,14
metu.edu.tr,144.122.1.18 (144.122.1.18),48.094,15
metu.edu.tr,144.122.1.18 (144.122.1.18),48.497,16
metu.edu.tr,144.122.1.18 (144.122.1.18),44.398,17
metu.edu.tr,144.122.1.18 (144.122.1.18),45.725,18
metu.edu.tr,144.122.1.18 (144.122.1.18),51.939,19
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),50.454,20
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),58.804,21
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),30.878,22
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),84.871,23
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),38.144,24
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),80.747,25
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),33.24,26
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),67.875,27
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),34.84,28
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),36.804,29
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),38.494,30
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),35.528,31
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),35.744,32
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),65.954,33
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),48.975,34
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),78.67,35
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),443.705,36
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),37.385,37
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),41.858,38
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),34.552,39
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),73.187,40
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),76.425,41
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),75.506,42
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),200.222,43
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),76.54,44
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),78.41,45
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),96.057,46
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),81.296,47
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),67.086,48
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),101.326,49
google.com,* 142.251.227.251 (142.251.227.251),28.069,50
google.com,* * 142.251.227.253 (142.251.227.253),37.439,51
google.com,* 142.250.213.34 (142.250.213.34),67.246,52
google.com,142.251.227.251 (142.251.227.251),475.937,53
google.com,142.251.227.253 (142.251.227.253),249.992,54
google.com,* 142.251.227.251 (142.251.227.251),74.142,55
google.com,142.250.213.35 (142.250.213.35),47.386,56
google.com,* 142.251.227.253 (142.251.227.253),459.181,57
google.com,* 142.251.227.253 (142.251.227.253),39.423,58
google.com,142.251.227.253 (142.251.227.253),38.271,59
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),85.898,60
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),105.372,61
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),103.547,62
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),80.115,63
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),113.574,64
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),104.608,65
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),125.665,66
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),107.878,67
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),105.317,68
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),122.67,69
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),61.988,70
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),54.845,71
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),62.915,72
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),57.837,73
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),57.931,74
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),52.529,75
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),63.27,76
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),59.409,77
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),47.942,78
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),146.168,79
kyoto-u.ac.jp,ae-1.a03.londen12.uk.bb.gin.ntt.net (129.250.3.251),138.304,80
kyoto-u.ac.jp,ae-2.r01.mlanit02.it.bb.gin.ntt.net (129.250.3.181),84.43,81
kyoto-u.ac.jp,ae-2.r01.vienat02.at.bb.gin.ntt.net (129.250.2.216),64.737,82
kyoto-u.ac.jp,ae-4.r20.vienat02.at.bb.gin.ntt.net (129.250.7.34),72.869,83
kyoto-u.ac.jp,* * ae-1.a00.mlanit02.it.bb.gin.ntt.net (129.250.3.163),88.351,84
kyoto-u.ac.jp,ae-1.a01.parsfr05.fr.bb.gin.ntt.net (129.250.2.107),168.984,85
kyoto-u.ac.jp,* * ae-1.r03.londen05.uk.bb.gin.ntt.net (129.250.6.113),113.034,86
kyoto-u.ac.jp,* ae-1.a01.amstnl07.nl.bb.gin.ntt.net (129.250.7.89),84.941,87
kyoto-u.ac.jp,ffm-bb1-link.ip.twelve99.net (62.115.132.226),79.976,88
kyoto-u.ac.jp,* ae-1.a00.parsfr05.fr.bb.gin.ntt.net (129.250.2.71),83.381,89
mit.edu,89.221.43.35 (89.221.43.35),91.977,90
mit.edu,ae34.r01.border101.lon02.fab.netarch.akamai.com (23.210.50.21),84.544,91
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),264.88,92
mit.edu,ae5.r02.border.mrs01.sdn.netarch.akamai.com (23.223.62.19),86.372,93
mit.edu,89.221.43.35 (89.221.43.35),93.09,94
mit.edu,ae-1.akamai-onnet.frnkge07.de.bb.gin.ntt.net (128.241.6.179),64.909,95
mit.edu,ae-1.akamai-onnet.frnkge07.de.bb.gin.ntt.net (128.241.6.179),109.661,96
mit.edu,ae34.r01.border101.lon02.fab.netarch.akamai.com (23.210.50.21),107.27,97
mit.edu,ae34.r01.border101.lon02.fab.netarch.akamai.com (23.210.50.21),124.999,98
mit.edu,ae5.r02.border.mrs01.sdn.netarch.akamai.com (23.223.62.19),153.439,99
itu.edu.tr,161.9.63.253 (161.9.63.253),30.145,100
itu.edu.tr,161.9.63.253 (161.9.63.253),38.238,101
itu.edu.tr,161.9.63.253 (161.9.63.253),37.923,102
itu.edu.tr,161.9.63.253 (161.9.63.253),96.34,103
itu.edu.tr,161.9.63.253 (161.9.63.253),51.433,104
itu.edu.tr,161.9.63.253 (161.9.63.253),57.319,105
itu.edu.tr,161.9.63.253 (161.9.63.253),35.758,106
itu.edu.tr,161.9.63.253 (161.9.63.253),80.296,107
itu.edu.tr,161.9.63.253 (161.9.63.253),37.819,108
itu.edu.tr,161.9.63.253 (161.9.63.253),77.777,109
metu.edu.tr,144.122.1.18 (144.122.1.18),56.331,110
metu.edu.tr,144.122.1.18 (144.122.1.18),53.706,111
metu.edu.tr,144.122.1.18 (144.122.1.18),51.689,112
metu.edu.tr,144.122.1.18 (144.122.1.18),49.626,113
metu.edu.tr,144.122.1.18 (144.122.1.18),48.265,114
metu.edu.tr,144.122.1.18 (144.122.1.18),49.586,115
metu.edu.tr,144.122.1.18 (144.122.1.18),47.416,116
metu.edu.tr,144.122.1.18 (144.122.1.18),45.594,117
metu.edu.tr,144.122.1.18 (144.122.1.18),48.428,118
metu.edu.tr,144.122.1.18 (144.122.1.18),48.434,119
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),47.533,120
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),54.847,121
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),31.608,122
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),84.366,123
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),40.282,124
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),78.932,125
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),31.082,126
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),67.724,127
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),32.602,128
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),33.313,129
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),38.158,130
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),31.919,131
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),36.042,132
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),65.411,133
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),45.716,134
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),82.156,135
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),440.553,136
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),40.575,137
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),40.842,138
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),38.861,139
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),77.579,140
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),75.567,141
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),74.373,142
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),198.831,143
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),75.453,144
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),79.346,145
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),93.893,146
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),80.618,147
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),68.566,148
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),98.847,149
google.com,* 142.251.227.251 (142.251.227.251),25.652,150
google.com,* * 142.251.227.253 (142.251.227.253),34.881,151
google.com,* 142.250.213.34 (142.250.213.34),68.54,152
google.com,142.251.227.251 (142.251.227.251),478.764,153
google.com,142.251.227.253 (142.251.227.253),246.684,154
google.com,* 142.251.227.251 (142.251.227.251),76.873,155
google.com,142.250.213.35 (142.250.213.35),42.678,156
