Destination,Hop,Delay (ms)
itu.edu.tr,Abdullah-Laptop (172.30.144.1),1.121
itu.edu.tr,161.9.79.253 (161.9.79.253),18.222
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),10.569
itu.edu.tr,161.9.79.253 (161.9.79.253),24.089
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.963
itu.edu.tr,161.9.79.253 (161.9.79.253),12.922
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.446
itu.edu.tr,161.9.79.253 (161.9.79.253),35.312
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),6.704
itu.edu.tr,161.9.79.253 (161.9.79.253),250.239
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),12.521
itu.edu.tr,161.9.79.253 (161.9.79.253),83.677
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),3.893
itu.edu.tr,161.9.79.253 (161.9.79.253),31.786
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),6.942
itu.edu.tr,161.9.79.253 (161.9.79.253),19.65
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),0.899
itu.edu.tr,161.9.79.253 (161.9.79.253),1.685
,,
itu.edu.tr,Abdullah-Laptop (172.30.144.1),4.157
itu.edu.tr,161.9.79.253 (161.9.79.253),94.821
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),6.271
metu.edu.tr,161.9.79.253 (161.9.79.253),50.795
metu.edu.tr,160.75.126.25 (160.75.126.25),65.041
metu.edu.tr,193.255.0.141 (193.255.0.141),58.205
metu.edu.tr,193.140.0.149 (193.140.0.149),62.185
metu.edu.tr,144.122.1.18 (144.122.1.18),128.984
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),1.5
metu.edu.tr,161.9.79.253 (161.9.79.253),61.68
metu.edu.tr,160.75.126.25 (160.75.126.25),18.79
metu.edu.tr,193.255.0.141 (193.255.0.141),16.917
metu.edu.tr,* 193.140.0.149 (193.140.0.149),610.214
metu.edu.tr,144.122.1.18 (144.122.1.18),104.329
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),9.389
metu.edu.tr,161.9.79.253 (161.9.79.253),47.033
metu.edu.tr,160.75.126.25 (160.75.126.25),62.194
metu.edu.tr,193.255.0.141 (193.255.0.141),62.991
metu.edu.tr,193.140.0.149 (193.140.0.149),55.019
metu.edu.tr,144.122.1.18 (144.122.1.18),117.266
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),2.01
metu.edu.tr,161.9.79.253 (161.9.79.253),52.2
metu.edu.tr,160.75.126.25 (160.75.126.25),56.896
metu.edu.tr,193.255.0.141 (193.255.0.141),53.28
metu.edu.tr,193.140.0.149 (193.140.0.149),170.783
metu.edu.tr,144.122.1.18 (144.122.1.18),190.725
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),7.1
metu.edu.tr,161.9.79.253 (161.9.79.253),10.128
metu.edu.tr,160.75.126.25 (160.75.126.25),14.818
metu.edu.tr,193.255.0.141 (193.255.0.141),15.367
metu.edu.tr,193.140.0.149 (193.140.0.149),25.95
metu.edu.tr,144.122.1.18 (144.122.1.18),151.497
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),6.849
metu.edu.tr,161.9.79.253 (161.9.79.253),11.753
metu.edu.tr,160.75.126.25 (160.75.126.25),21.258
metu.edu.tr,193.255.0.141 (193.255.0.141),11.355
metu.edu.tr,193.140.0.149 (193.140.0.149),107.559
metu.edu.tr,144.122.1.18 (144.122.1.18),153.41
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),6.52
metu.edu.tr,161.9.79.253 (161.9.79.253),132.29
metu.edu.tr,160.75.126.25 (160.75.126.25),128.475
metu.edu.tr,193.255.0.141 (193.255.0.141),131.737
metu.edu.tr,193.140.0.149 (193.140.0.149),149.357
metu.edu.tr,144.122.1.18 (144.122.1.18),75.562
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),9.957
metu.edu.tr,161.9.79.253 (161.9.79.253),28.822
metu.edu.tr,160.75.126.25 (160.75.126.25),17.385
metu.edu.tr,193.255.0.141 (193.255.0.141),15.269
metu.edu.tr,* 193.140.0.149 (193.140.0.149),60.479
metu.edu.tr,144.122.1.18 (144.122.1.18),47.946
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),5.199
metu.edu.tr,161.9.79.253 (161.9.79.253),122.582
metu.edu.tr,160.75.126.25 (160.75.126.25),130.071
metu.edu.tr,193.255.0.141 (193.255.0.141),142.491
metu.edu.tr,193.140.0.149 (193.140.0.149),152.611
metu.edu.tr,144.122.1.18 (144.122.1.18),178.318
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),8.838
metu.edu.tr,161.9.79.253 (161.9.79.253),80.055
metu.edu.tr,160.75.126.25 (160.75.126.25),78.747
metu.edu.tr,193.255.0.141 (193.255.0.141),82.152
metu.edu.tr,193.140.0.149 (193.140.0.149),95.224
metu.edu.tr,144.122.1.18 (144.122.1.18),188.823
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),1.85
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),28.922
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),15.813
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),24.962
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),42.196
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),2.358
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),33.882
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),41.567
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),32.923
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),5.018
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),286.377
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),286.805
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),290.007
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),299.853
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),8.483
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),37.773
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),34.599
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),28.682
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),7.117
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),178.517
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),183.73
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),192.135
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),112.539
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),1.232
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),85.442
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),78.136
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),96.754
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),157.934
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),2.353
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),312.234
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),312.904
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),308.375
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),406.33
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),11.372
en.iyte.edu.tr,161.9.79.253 (161.9.79.253),369.857
en.iyte.edu.tr,160.75.126.25 (160.75.126.25),376.991
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),384.068
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),441.637
,,
