Destination,Hop,Delay (ms),Group
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),23.736,0
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),26.952,1
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),15.701,2
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),25.447,3
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),30.516,4
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),24.483,5
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),24.209,6
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),17.334,7
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),26.57,8
itu.edu.tr,202.120.192.193.static.turk.net (193.192.120.202),28.799,9
metu.edu.tr,144.122.1.18 (144.122.1.18),26.355,10
metu.edu.tr,144.122.1.18 (144.122.1.18),17.123,11
metu.edu.tr,144.122.1.18 (144.122.1.18),20.021,12
metu.edu.tr,144.122.1.18 (144.122.1.18),21.798,13
metu.edu.tr,144.122.1.18 (144.122.1.18),14.831,14
metu.edu.tr,144.122.1.18 (144.122.1.18),22.795,15
metu.edu.tr,144.122.1.18 (144.122.1.18),23.94,16
metu.edu.tr,144.122.1.18 (144.122.1.18),15.956,17
metu.edu.tr,144.122.1.18 (144.122.1.18),19.529,18
metu.edu.tr,144.122.1.18 (144.122.1.18),16.823,19
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),35.963,20
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),31.862,21
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),36.932,22
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),34.213,23
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),22.569,24
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),87.094,25
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),35.704,26
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),28.479,27
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),77.111,28
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),32.828,29
erbakan.edu.tr,172.67.69.193 (172.67.69.193),27.525,30
